journal_id,journal,ssci_rank,h5_index,h5_median,since,publisher,url,scope,type_id,type_category,type,lower_limit,upper_limit,limit_unit,last_updated
1,International Organization,1,47,77,1947,Cambridge University Press,https://www.cambridge.org/core/journals/international-organization,"International Organization is a leading peer-reviewed journal that covers the entire field of international affairs. Subject areas include: foreign policies, international relations, international and comparative political economy, security policies, environmental disputes and resolutions, European integration, alliance patterns and war, bargaining and conflict resolution, economic development and adjustment, and international capital movements. A study that does not emphasize any international (or cross-border) phenomenon as a major cause or effect falls outside the journal s domain. IO features articles that contribute in some way to the improvement of general knowledge or empirical theory defined broadly. Although we may publish a manuscript designed to propose a solution to a current world problem, we prefer to publish those that also apply theoretical ideas, contribute empirical analyses or address general questions debated in the scholarly community.",1,article,Article,,14000,words,11/05/2020
1,International Organization,1,47,77,1947,Cambridge University Press,https://www.cambridge.org/core/journals/international-organization,"International Organization is a leading peer-reviewed journal that covers the entire field of international affairs. Subject areas include: foreign policies, international relations, international and comparative political economy, security policies, environmental disputes and resolutions, European integration, alliance patterns and war, bargaining and conflict resolution, economic development and adjustment, and international capital movements. A study that does not emphasize any international (or cross-border) phenomenon as a major cause or effect falls outside the journal s domain. IO features articles that contribute in some way to the improvement of general knowledge or empirical theory defined broadly. Although we may publish a manuscript designed to propose a solution to a current world problem, we prefer to publish those that also apply theoretical ideas, contribute empirical analyses or address general questions debated in the scholarly community.",2,research_note,Research Note,,8000,words,11/05/2020
1,International Organization,1,47,77,1947,Cambridge University Press,https://www.cambridge.org/core/journals/international-organization,"International Organization is a leading peer-reviewed journal that covers the entire field of international affairs. Subject areas include: foreign policies, international relations, international and comparative political economy, security policies, environmental disputes and resolutions, European integration, alliance patterns and war, bargaining and conflict resolution, economic development and adjustment, and international capital movements. A study that does not emphasize any international (or cross-border) phenomenon as a major cause or effect falls outside the journal s domain. IO features articles that contribute in some way to the improvement of general knowledge or empirical theory defined broadly. Although we may publish a manuscript designed to propose a solution to a current world problem, we prefer to publish those that also apply theoretical ideas, contribute empirical analyses or address general questions debated in the scholarly community.",3,other/uncategorised,Review,,,,11/05/2020
2,American Journal of Political Science,2,69,101,1956,Wiley,https://ajps.org/guidelines-for-manuscripts/manuscript-preparation/,"The American Journal of Political Science (AJPS) is committed to significant advances in knowledge and understanding of citizenship, governance, and politics, and to the public value of political science research. As the official journal of the Midwest Political Science Association, AJPS publishes research in all major areas of political science including American politics, public policy, international relations, comparative politics, political methodology, and political theory. AJPS seeks manuscripts that make outstanding contributions to scholarly knowledge about notable theoretical concerns, empirical issues, or methodological strategies in any subfield of political science. Manuscripts submitted for review should address an important research problem or question, display a high level of creativity or innovation in research, contribute in a novel way to a body of knowledge, and also (as appropriate) demonstrate state-of-the-art use of appropriate methodology.",1,article,Article,,10000,words,11/05/2020
3,Political Communication,3,33,41,1980,Taylor & Francis,https://www.tandfonline.com/toc/upcp20/current,"Political Communication  is an international journal, published quarterly, that features cutting-edge theory-driven empirical research at the intersection of politics and communication. Its expansive subject is the site of rapid changes and pressing policy concerns worldwide. The journal welcomes all research methods and analytical viewpoints that advance understanding of the practices, processes, content, effects, and policy implications of political communication. Regular symposium issues explore key issues in depth.",1,article,Article,,30,pages,11/05/2020
4,British Journal of Political Science,4,44,69,1971,Cambridge University Press,https://www.cambridge.org/core/journals/british-journal-of-political-science,"The British Journal of Political Science (BJPolS) is a broadly based journal aiming to cover developments across a wide range of countries and specialisms. Contributions are drawn from all fields of political science (including political theory, political behaviour, public policy and international relations), and articles from scholars in related disciplines (sociology, social psychology, economics and philosophy) appear frequently. With a reputation established over 40 years of publication, the BJPolS is widely recognised as one of the premier journals in its field.",1,article,Article,4000,10000,words,11/05/2020
4,British Journal of Political Science,4,44,69,1971,Cambridge University Press,https://www.cambridge.org/core/journals/british-journal-of-political-science,"The British Journal of Political Science (BJPolS) is a broadly based journal aiming to cover developments across a wide range of countries and specialisms. Contributions are drawn from all fields of political science (including political theory, political behaviour, public policy and international relations), and articles from scholars in related disciplines (sociology, social psychology, economics and philosophy) appear frequently. With a reputation established over 40 years of publication, the BJPolS is widely recognised as one of the premier journals in its field.",2,comment,Comment,,,,11/05/2020
4,British Journal of Political Science,4,44,69,1971,Cambridge University Press,https://www.cambridge.org/core/journals/british-journal-of-political-science,"The British Journal of Political Science (BJPolS) is a broadly based journal aiming to cover developments across a wide range of countries and specialisms. Contributions are drawn from all fields of political science (including political theory, political behaviour, public policy and international relations), and articles from scholars in related disciplines (sociology, social psychology, economics and philosophy) appear frequently. With a reputation established over 40 years of publication, the BJPolS is widely recognised as one of the premier journals in its field.",3,research_note,Letter,,4000,words,11/05/2020
4,British Journal of Political Science,4,44,69,1971,Cambridge University Press,https://www.cambridge.org/core/journals/british-journal-of-political-science,"The British Journal of Political Science (BJPolS) is a broadly based journal aiming to cover developments across a wide range of countries and specialisms. Contributions are drawn from all fields of political science (including political theory, political behaviour, public policy and international relations), and articles from scholars in related disciplines (sociology, social psychology, economics and philosophy) appear frequently. With a reputation established over 40 years of publication, the BJPolS is widely recognised as one of the premier journals in its field.",4,other/uncategorised,Review,5000,12000,words,11/05/2020
5,Policy Studies Journal,5,32,53,1972,Wiley,https://onlinelibrary.wiley.com/journal/15410072,"The primary focus of the Policy Studies Journal (PSJ) is the development and refinement of public policy theory. Published on behalf of the Policy Studies Organization (PSO) and the American Political Science Association s (APSA) Public Policy Section, PSJ is an International journal that publishes original research articles and symposia of exceptional quality. The journal addresses a wide range of public policy issues, at all levels of government, and encourages submissions that foreground theoretical queries and concerns. PSJ embraces diversity and welcomes submissions from different theoretical perspectives, has no methodological or analytic dogmas, and encourages submissions from historically underrepresented groups.",1,article,Article,,10000,words,17/11/2022
