id,journal,since,publisher,website,scope,article_type,word_limit,notes
1,International Organization,1947,Cambridge University Press,https://www.cambridge.org/core/journals/international-organization,"International Organization is a leading peer-reviewed journal that covers the entire field of international affairs. Subject areas include: foreign policies, international relations, international and comparative political economy, security policies, environmental disputes and resolutions, European integration, alliance patterns and war, bargaining and conflict resolution, economic development and adjustment, and international capital movements. A study that does not emphasize any international (or cross-border) phenomenon as a major cause or effect falls outside the journal’s domain. IO features articles that contribute in some way to the improvement of general knowledge or empirical theory defined broadly. Although we may publish a manuscript designed to propose a solution to a current world problem, we prefer to publish those that also apply theoretical ideas, contribute empirical analyses or address general questions debated in the scholarly community.",article,14000,
1,International Organization,1947,Cambridge University Press,https://www.cambridge.org/core/journals/international-organization,"International Organization is a leading peer-reviewed journal that covers the entire field of international affairs. Subject areas include: foreign policies, international relations, international and comparative political economy, security policies, environmental disputes and resolutions, European integration, alliance patterns and war, bargaining and conflict resolution, economic development and adjustment, and international capital movements. A study that does not emphasize any international (or cross-border) phenomenon as a major cause or effect falls outside the journal’s domain. IO features articles that contribute in some way to the improvement of general knowledge or empirical theory defined broadly. Although we may publish a manuscript designed to propose a solution to a current world problem, we prefer to publish those that also apply theoretical ideas, contribute empirical analyses or address general questions debated in the scholarly community.",research note,8000,
1,International Organization,1947,Cambridge University Press,https://www.cambridge.org/core/journals/international-organization,"International Organization is a leading peer-reviewed journal that covers the entire field of international affairs. Subject areas include: foreign policies, international relations, international and comparative political economy, security policies, environmental disputes and resolutions, European integration, alliance patterns and war, bargaining and conflict resolution, economic development and adjustment, and international capital movements. A study that does not emphasize any international (or cross-border) phenomenon as a major cause or effect falls outside the journal’s domain. IO features articles that contribute in some way to the improvement of general knowledge or empirical theory defined broadly. Although we may publish a manuscript designed to propose a solution to a current world problem, we prefer to publish those that also apply theoretical ideas, contribute empirical analyses or address general questions debated in the scholarly community.",review essays,,
2,American Journal of Political Science,1956,Wiley,https://ajps.org/guidelines-for-manuscripts/manuscript-preparation/,"The American Journal of Political Science (AJPS) is committed to significant advances in knowledge and understanding of citizenship, governance, and politics, and to the public value of political science research. As the official journal of the Midwest Political Science Association, AJPS publishes research in all major areas of political science including American politics, public policy, international relations, comparative politics, political methodology, and political theory. AJPS seeks manuscripts that make outstanding contributions to scholarly knowledge about notable theoretical concerns, empirical issues, or methodological strategies in any subfield of political science. Manuscripts submitted for review should address an important research problem or question, display a high level of creativity or innovation in research, contribute in a novel way to a body of knowledge, and also (as appropriate) demonstrate state-of-the-art use of appropriate methodology.",article,10000,
3,Political Communication,1980,Taylor & Francis,https://www.tandfonline.com/toc/upcp20/current," Political Communication  is an international journal, published quarterly, that features cutting-edge theory-driven empirical research at the intersection of politics and communication. Its expansive subject is the site of rapid changes and pressing policy concerns worldwide. The journal welcomes all research methods and analytical viewpoints that advance understanding of the practices, processes, content, effects, and
policy implications of political communication. Regular symposium issues explore key issues in depth.",article,30 pages,
4,British Journal of Political Science,1971,Cambridge University Press,https://www.cambridge.org/core/journals/british-journal-of-political-science," The British Journal of Political Science (BJPolS) is a broadly based journal aiming to cover developments across a wide range of countries and specialisms. Contributions are drawn from all fields of political science (including political theory, political behaviour, public policy and international relations), and articles from scholars in related disciplines (sociology, social psychology, economics and philosophy) appear frequently. With a reputation established over 40 years of publication, the BJPolS is widely recognised as one of the premier journals in its field.",article,4000 - 10000,
4,British Journal of Political Science,1971,Cambridge University Press,https://www.cambridge.org/core/journals/british-journal-of-political-science," The British Journal of Political Science (BJPolS) is a broadly based journal aiming to cover developments across a wide range of countries and specialisms. Contributions are drawn from all fields of political science (including political theory, political behaviour, public policy and international relations), and articles from scholars in related disciplines (sociology, social psychology, economics and philosophy) appear frequently. With a reputation established over 40 years of publication, the BJPolS is widely recognised as one of the premier journals in its field.",letters,4000,
4,British Journal of Political Science,1971,Cambridge University Press,https://www.cambridge.org/core/journals/british-journal-of-political-science," The British Journal of Political Science (BJPolS) is a broadly based journal aiming to cover developments across a wide range of countries and specialisms. Contributions are drawn from all fields of political science (including political theory, political behaviour, public policy and international relations), and articles from scholars in related disciplines (sociology, social psychology, economics and philosophy) appear frequently. With a reputation established over 40 years of publication, the BJPolS is widely recognised as one of the premier journals in its field.",comments,,
4,British Journal of Political Science,1971,Cambridge University Press,https://www.cambridge.org/core/journals/british-journal-of-political-science," The British Journal of Political Science (BJPolS) is a broadly based journal aiming to cover developments across a wide range of countries and specialisms. Contributions are drawn from all fields of political science (including political theory, political behaviour, public policy and international relations), and articles from scholars in related disciplines (sociology, social psychology, economics and philosophy) appear frequently. With a reputation established over 40 years of publication, the BJPolS is widely recognised as one of the premier journals in its field.",review article,5000 - 12000,
5,Policy Studies Journal,1972,Wiley,https://onlinelibrary.wiley.com/journal/15410072,,,,
6,Annual Review of Political Science,1998,Annual Reviews,https://www.annualreviews.org/loi/polisci,,,,
7,American Political Science Review,1906,Cambridge University Press,https://www.cambridge.org/core/journals/american-political-science-review,,,,
8,Environmental Politics,1992,Taylor & Francis,https://www.tandfonline.com/toc/fenp20/current,,,,
9,Journal of Democracy,1990,Project MUSE,http://muse.jhu.edu/journal/98,,,,
10,Governance,1988,Wiley,https://onlinelibrary.wiley.com/journal/14680491,,,,
11,West European Politics,1978,Taylor & Francis,https://www.tandfonline.com/toc/fwep20/current,,,,
12,Journal of European Public Policy,1994,Taylor & Francis,https://www.tandfonline.com/toc/rjpp20/current,,,,
13,Journal of Public Administration Research and Theory,1991,Oxford University Press,https://academic.oup.com/jpart,,,,
14,Global Environmental Politics,2001,MIT,https://www.mitpressjournals.org/loi/glep,,,,
15,World Politics,1948,Cambridge University Press,https://www.cambridge.org/core/journals/world-politics,,,,
16,Socio-Economic Review,2003,Oxford University Press,https://academic.oup.com/ser,,,,
17,Public Opinion Quarterly,1937,Oxford University Press,https://academic.oup.com/poq,,,,
18,Comparative Political Studies,1968,SAGE,http://journals.sagepub.com/home/cps,,,,
19,Political Psychology,1980,Wiley,https://onlinelibrary.wiley.com/journal/14679221,,,,
20,New Political Economy,1996,Taylor & Francis,https://www.tandfonline.com/toc/cnpe20/current,,,,
21,European Journal of Political Research,1973,Wiley,https://onlinelibrary.wiley.com/journal/14756765,,,,
22,Political Geography,1982,Elsevier,https://www.journals.elsevier.com/political-geography,,,,
23,International Journal of Press/Politics,1996,SAGE,http://journals.sagepub.com/home/hij,,,,
24,Review of International Political Economy,1994,Taylor & Francis,https://www.tandfonline.com/toc/rrip20/current,,,,
25,Regulation andGovernance,2007,Wiley,https://onlinelibrary.wiley.com/journal/17485991,,,,
26,Geopolitics,1996,Taylor & Francis,https://www.tandfonline.com/loi/fgeo20,,,,
27,JCMS: Journal of Common Market Studies,1962,Wiley,https://onlinelibrary.wiley.com/journal/14685965,,,,
28,"Territory, Politics, Governance",2013,Taylor & Francis,https://www.tandfonline.com/toc/rtep20/current,,,,
29,Party Politics,1995,SAGE,http://journals.sagepub.com/home/ppq,,,,
30,European Union Politics,2000,SAGE,http://journals.sagepub.com/home/eup,,,,
31,Public Administration,1923,Wiley,https://onlinelibrary.wiley.com/journal/14679299,,,,
32,Government and Opposition,1965,Cambridge University Press,https://www.cambridge.org/core/journals/government-and-opposition,,,,
33,Political Analysis,1990,Cambridge University Press,https://www.cambridge.org/core/journals/political-analysis,,,,
34,Political Behavior,1979,Springer,https://link.springer.com/journal/11109,,,,
35,Journal of Peace Research,1964,SAGE,http://journals.sagepub.com/home/jpr,,,,
36,Journal of Politics,1939,University of Chicago Press,https://www.journals.uchicago.edu/toc/jop/current,,,,
37,Journal of Conflict Resolution,1957,SAGE,http://journals.sagepub.com/home/jcr,,,,
38,South European Society and Politics,1996,Taylor & Francis,https://www.tandfonline.com/toc/fses20/current,,,,
39,Perspectives on Politics,2003,Cambridge University Press,https://www.cambridge.org/core/journals/perspectives-on-politics,,,,
40,"International Environmental Agreements: Politics, Law and Economics",2001,Springer,https://www.springer.com/law/environmental/journal/10784,,,,
41,Politics andSociety,1970,SAGE,http://journals.sagepub.com/home/pas,,,,
42,British Journal of Politics and International Relations,1999,SAGE,http://journals.sagepub.com/home/bpi,,,,
43,Post-Soviet Affairs,1985,Taylor & Francis,https://www.tandfonline.com/toc/rpsa20/current,,,,
44,African Affairs,1901,Oxford University Press,https://academic.oup.com/afraf,,,,
45,International Studies Quarterly,1957,Oxford University Press,https://academic.oup.com/isq,,,,
46,Political Science Research and Methods,2013,Cambridge University Press,https://www.cambridge.org/core/journals/political-science-research-and-methods,,,,
47,International Studies Review,1994,Oxford University Press,https://academic.oup.com/isr,,,,
48,Policy andPolitics,1972,Ingenta Connect,http://www.ingentaconnect.com/content/tpp/pap,,,,
49,Social Movement Studies,2002,Taylor & Francis,https://www.tandfonline.com/toc/csms20/current,,,,
50,Policy and Society,1990,Taylor & Francis,https://www.tandfonline.com/toc/rpas20/current,,,,
51,New Left Review,1960,New Left Review Ltd,https://newleftreview.org/,,,,
52,International Political Sociology,2007,Oxford University Press,https://academic.oup.com/ips,,,,
53,Policy andInternet,2009,Wiley,https://onlinelibrary.wiley.com/journal/19442866,,,,
54,Cooperation and Conflict,1965,SAGE,http://journals.sagepub.com/home/cac,,,,
55,Review of Policy Research,1981,Wiley,https://onlinelibrary.wiley.com/journal/15411338,,,,
56,Democratization,1994,Taylor & Francis,https://www.tandfonline.com/toc/fdem20/current,,,,
